Date,Component,Type,Event,Event ID
2026-08-18 08:17:43,sflib,STATUS,Scan [0CEEC78E] for 'wwwislav' initiated.,2432
2026-08-18 08:17:43,sflib,STATUS,sfp_cinsscore module loaded.,2433
2026-08-18 08:17:43,sflib,STATUS,sfp_zoneh module loaded.,2434
2026-08-18 08:17:43,sflib,STATUS,sfp_iban module loaded.,2435
2026-08-18 08:17:43,sflib,STATUS,sfp_crobat_api module loaded.,2436
2026-08-18 08:17:43,sflib,STATUS,sfp_keybase module loaded.,2437
2026-08-18 08:17:43,sflib,STATUS,sfp_bgpview module loaded.,2438
2026-08-18 08:17:43,sfp_dnsresolve,STATUS,Identifying aliases for specified target(s),2439
2026-08-18 08:17:43,sflib,STATUS,sfp_dnsresolve module loaded.,2440
2026-08-18 08:17:43,sflib,STATUS,sfp_viewdns module loaded.,2441
2026-08-18 08:17:43,sflib,STATUS,sfp_malwarepatrol module loaded.,2442
2026-08-18 08:17:43,sflib,STATUS,sfp_emailformat module loaded.,2443
2026-08-18 08:17:43,sflib,STATUS,sfp_phishtank module loaded.,2444
2026-08-18 08:17:43,sflib,STATUS,sfp_sorbs module loaded.,2445
2026-08-18 08:17:43,sflib,STATUS,sfp_pulsedive module loaded.,2446
2026-08-18 08:17:43,sflib,STATUS,sfp_mnemonic module loaded.,2447
2026-08-18 08:17:43,sflib,STATUS,sfp_abstractapi module loaded.,2448
2026-08-18 08:17:43,sflib,STATUS,sfp_whoxy module loaded.,2449
2026-08-18 08:17:43,sflib,STATUS,sfp_bitcoin module loaded.,2450
2026-08-18 08:17:43,sflib,STATUS,sfp_greensnow module loaded.,2451
2026-08-18 08:17:43,sflib,STATUS,sfp_blocklistde module loaded.,2452
2026-08-18 08:17:43,sflib,STATUS,sfp_bingsharedip module loaded.,2453
2026-08-18 08:17:43,sflib,STATUS,sfp_grayhatwarfare module loaded.,2454
2026-08-18 08:17:43,sflib,STATUS,sfp_coinblocker module loaded.,2455
2026-08-18 08:17:43,sflib,STATUS,sfp_onyphe module loaded.,2456
2026-08-18 08:17:43,sflib,STATUS,sfp_arin module loaded.,2457
2026-08-18 08:17:43,sflib,STATUS,sfp_ipapicom module loaded.,2458
2026-08-18 08:17:43,sflib,STATUS,sfp_reversewhois module loaded.,2459
2026-08-18 08:17:43,sflib,STATUS,sfp_iknowwhatyoudownload module loaded.,2460
2026-08-18 08:17:43,sflib,STATUS,sfp_openstreetmap module loaded.,2461
2026-08-18 08:17:43,sflib,STATUS,sfp_wikileaks module loaded.,2462
2026-08-18 08:17:43,sflib,STATUS,sfp_openbugbounty module loaded.,2463
2026-08-18 08:17:43,sflib,STATUS,sfp_intelx module loaded.,2464
2026-08-18 08:17:43,sflib,STATUS,sfp_metadefender module loaded.,2465
2026-08-18 08:17:43,sflib,STATUS,sfp_ipinfo module loaded.,2466
2026-08-18 08:17:43,sflib,STATUS,sfp_whatcms module loaded.,2467
2026-08-18 08:17:43,sflib,STATUS,sfp_spyonweb module loaded.,2468
2026-08-18 08:17:43,sflib,STATUS,sfp_sociallinks module loaded.,2469
2026-08-18 08:17:43,sflib,STATUS,sfp_hosting module loaded.,2470
2026-08-18 08:17:44,sflib,STATUS,sfp_snov module loaded.,2471
2026-08-18 08:17:44,sflib,STATUS,sfp_botvrij module loaded.,2472
2026-08-18 08:17:44,sflib,STATUS,sfp_customfeed module loaded.,2473
2026-08-18 08:17:44,sflib,STATUS,sfp_trashpanda module loaded.,2474
2026-08-18 08:17:44,sflib,STATUS,sfp_fullcontact module loaded.,2475
2026-08-18 08:17:44,sflib,STATUS,sfp_bitcoinwhoswho module loaded.,2476
2026-08-18 08:17:44,sflib,STATUS,sfp_dnsraw module loaded.,2477
2026-08-18 08:17:44,sflib,STATUS,sfp_cookie module loaded.,2478
2026-08-18 08:17:44,sflib,STATUS,sfp_fsecure_riddler module loaded.,2479
2026-08-18 08:17:44,sflib,STATUS,sfp_clearbit module loaded.,2480
2026-08-18 08:17:44,sflib,STATUS,sfp_instagram module loaded.,2481
2026-08-18 08:17:44,sflib,STATUS,sfp_nameapi module loaded.,2482
2026-08-18 08:17:44,sflib,STATUS,sfp_stackoverflow module loaded.,2483
2026-08-18 08:17:44,sflib,STATUS,sfp_greynoise module loaded.,2484
2026-08-18 08:17:44,sflib,STATUS,sfp_builtwith module loaded.,2485
2026-08-18 08:17:44,sflib,STATUS,sfp_duckduckgo module loaded.,2486
2026-08-18 08:17:44,sfp_accounts,ERROR,Unable to parse social media accounts list: Extra data: line 1 column 4 (char 3),2487
2026-08-18 08:17:44,sflib,STATUS,sfp_accounts module loaded.,2488
2026-08-18 08:17:44,sflib,STATUS,sfp_cybercrimetracker module loaded.,2489
2026-08-18 08:17:44,sflib,STATUS,sfp_fortinet module loaded.,2490
2026-08-18 08:17:44,sflib,STATUS,sfp_seon module loaded.,2491
2026-08-18 08:17:44,sflib,STATUS,sfp_projectdiscovery module loaded.,2492
2026-08-18 08:17:44,sflib,STATUS,sfp_dns_for_family module loaded.,2493
2026-08-18 08:17:44,sfp_sublist3r,DEBUG,Setting up sfp_sublist3r,2494
2026-08-18 08:17:44,sflib,STATUS,sfp_sublist3r module loaded.,2495
2026-08-18 08:17:44,sflib,STATUS,sfp_dehashed module loaded.,2496
2026-08-18 08:17:44,sflib,STATUS,sfp_ripe module loaded.,2497
2026-08-18 08:17:44,sflib,STATUS,sfp_dnsgrep module loaded.,2498
2026-08-18 08:17:44,sflib,STATUS,sfp_securitytrails module loaded.,2499
2026-08-18 08:17:44,sflib,STATUS,sfp_webanalytics module loaded.,2500
2026-08-18 08:17:44,sflib,STATUS,sfp_cleanbrowsing module loaded.,2501
2026-08-18 08:17:44,sflib,STATUS,sfp_phishstats module loaded.,2502
2026-08-18 08:17:44,sflib,STATUS,sfp_opendns module loaded.,2503
2026-08-18 08:17:44,sflib,STATUS,sfp_debounce module loaded.,2504
2026-08-18 08:17:44,sflib,STATUS,sfp_bitcoinabuse module loaded.,2505
2026-08-18 08:17:44,sflib,STATUS,sfp_twilio module loaded.,2506
2026-08-18 08:17:44,sflib,STATUS,sfp_dnsdb module loaded.,2507
2026-08-18 08:17:44,sflib,STATUS,sfp_urlscan module loaded.,2508
2026-08-18 08:17:44,sflib,STATUS,sfp_grep_app module loaded.,2509
2026-08-18 08:17:44,sflib,STATUS,sfp_talosintel module loaded.,2510
2026-08-18 08:17:44,sflib,STATUS,sfp_s3bucket module loaded.,2511
2026-08-18 08:17:44,sflib,STATUS,sfp_c99 module loaded.,2512
2026-08-18 08:17:44,sflib,STATUS,sfp_open_passive_dns_database module loaded.,2513
2026-08-18 08:17:44,sflib,STATUS,sfp_commoncrawl module loaded.,2514
2026-08-18 08:17:44,sflib,STATUS,sfp_punkspider module loaded.,2515
2026-08-18 08:17:44,sflib,STATUS,sfp_blockchain module loaded.,2516
2026-08-18 08:17:44,sflib,STATUS,sfp_cleantalk module loaded.,2517
2026-08-18 08:17:44,sflib,STATUS,sfp_intfiles module loaded.,2518
2026-08-18 08:17:44,sflib,STATUS,sfp_textmagic module loaded.,2519
2026-08-18 08:17:44,sflib,STATUS,sfp_fraudguard module loaded.,2520
2026-08-18 08:17:44,sflib,STATUS,sfp_creditcard module loaded.,2521
2026-08-18 08:17:44,sflib,STATUS,sfp_alienvault module loaded.,2522
2026-08-18 08:17:44,sflib,STATUS,sfp_neutrinoapi module loaded.,2523
2026-08-18 08:17:44,sflib,STATUS,sfp_shodan module loaded.,2524
2026-08-18 08:17:44,sflib,STATUS,sfp_opencorporates module loaded.,2525
2026-08-18 08:17:44,sflib,STATUS,sfp_networksdb module loaded.,2526
2026-08-18 08:17:44,sflib,STATUS,sfp_alienvaultiprep module loaded.,2527
2026-08-18 08:17:44,sflib,STATUS,sfp_whois module loaded.,2528
2026-08-18 08:17:44,sflib,STATUS,sfp_archiveorg module loaded.,2529
2026-08-18 08:17:44,sflib,STATUS,sfp_isc module loaded.,2530
2026-08-18 08:17:44,sflib,STATUS,sfp_robtex module loaded.,2531
2026-08-18 08:17:44,sflib,STATUS,sfp_callername module loaded.,2532
2026-08-18 08:17:44,sflib,STATUS,sfp_threatminer module loaded.,2533
2026-08-18 08:17:44,sflib,STATUS,sfp_zetalytics module loaded.,2534
2026-08-18 08:17:44,sflib,STATUS,sfp_numverify module loaded.,2535
2026-08-18 08:17:44,sflib,STATUS,sfp_recondev module loaded.,2536
2026-08-18 08:17:44,sflib,STATUS,sfp_spamhaus module loaded.,2537
2026-08-18 08:17:44,sflib,STATUS,sfp_hashes module loaded.,2538
2026-08-18 08:17:44,sflib,STATUS,sfp_ipregistry module loaded.,2539
2026-08-18 08:17:44,sfp_dnsdumpster,DEBUG,Setting up sfp_dnsdumpster,2540
2026-08-18 08:17:44,sflib,STATUS,sfp_dnsdumpster module loaded.,2541
2026-08-18 08:17:44,sflib,STATUS,sfp_vxvault module loaded.,2542
2026-08-18 08:17:44,sflib,STATUS,sfp_spamcop module loaded.,2543
2026-08-18 08:17:44,sflib,STATUS,sfp_ipapico module loaded.,2544
2026-08-18 08:17:44,sflib,STATUS,sfp_email module loaded.,2545
2026-08-18 08:17:44,sflib,STATUS,sfp_crxcavator module loaded.,2546
